,Name,Notes,team,type
63,All-rounders,All-rounders,DC,Batsman
64,Harshal Patel,,DC,All-Rounder
65,Axar Patel,,DC,All-Rounder
66,Keemo Paul,Overseas,DC,All-Rounder
67,Chris Woakes,Overseas,DC,All-Rounder
68,Marcus Stoinis,Overseas,DC,All-Rounder
69,Lalit Yadav,,DC,All-Rounder
70,Wicket-keepers,Wicket-keepers,DC,All-Rounder
71,Rishabh Pant,,DC,Wicket Keeper
72,Alex Carey,Overseas,DC,Wicket Keeper
73,Bowlers,Bowlers,DC,Wicket Keeper
74,Sandeep Lamichhane,Overseas,DC,Bowler
75,Avesh Khan,,DC,Bowler
76,Kagiso Rabada,Overseas,DC,Bowler
77,Ishant Sharma,,DC,Bowler
78,Amit Mishra,,DC,Bowler
79,Ravichandran Ashwin,,DC,Bowler
80,Mohit Sharma,,DC,Bowler
81,Tushar Deshpande,,DC,Bowler
82,Batsmen,Batsmen,SRH,Bowler
83,Manish Pandey,,SRH,Batsman
84,Kane Williamson,"Captain, Overseas",SRH,Batsman
85,David Warner,Overseas,SRH,Batsman
86,Virat Singh,,SRH,Batsman
87,Priyam Garg,,SRH,Batsman
88,All-rounders,All-rounders,SRH,Batsman
89,Mohammad Nabi,Overseas,SRH,All-Rounder
90,Abhishek Sharma,,SRH,All-Rounder
91,Vijay Shankar,,SRH,All-Rounder
92,Mitchell Marsh,Overseas,SRH,All-Rounder
93,Bavanaka Sandeep,,SRH,All-Rounder
94,Fabian Allen,Overseas,SRH,All-Rounder
95,Abdul Samad,,SRH,All-Rounder
96,Sanjay Yadav,,SRH,All-Rounder
97,Wicket-keepers,Wicket-keepers,SRH,All-Rounder
98,Shreevats Goswami,,SRH,Wicket Keeper
99,Wriddhiman Saha,,SRH,Wicket Keeper
100,Jonny Bairstow,Overseas,SRH,Wicket Keeper
101,Bowlers,Bowlers,SRH,Wicket Keeper
102,Shahbaz Nadeem,,SRH,Bowler
103,Siddarth Kaul,,SRH,Bowler
104,Bhuvneshwar Kumar,,SRH,Bowler
105,Rashid Khan,Overseas,SRH,Bowler
106,Khaleel Ahmed,,SRH,Bowler
107,Basil Thampi,,SRH,Bowler
108,Billy Stanlake,Overseas,SRH,Bowler
109,Thangarasu Natarajan,,SRH,Bowler
110,Sandeep Sharma,,SRH,Bowler
111,Batsmen,Batsmen,KXIP,Bowler
112,Shikhar Dhawan,,KXIP,Batsman
113,Shreyas Iyer,Captain,KXIP,Batsman
114,Prithvi Shaw,,KXIP,Batsman
115,Ajinkya Rahane,,KXIP,Batsman
116,Jason Roy,Overseas,KXIP,Batsman
117,Shimron Hetmyer,Overseas,KXIP,Batsman
118,All-rounders,All-rounders,KXIP,Batsman
119,Harshal Patel,,KXIP,All-Rounder
120,Axar Patel,,KXIP,All-Rounder
121,Keemo Paul,Overseas,KXIP,All-Rounder
122,Chris Woakes,Overseas,KXIP,All-Rounder
123,Marcus Stoinis,Overseas,KXIP,All-Rounder
124,Lalit Yadav,,KXIP,All-Rounder
125,Wicket-keepers,Wicket-keepers,KXIP,All-Rounder
126,Rishabh Pant,,KXIP,Wicket Keeper
127,Alex Carey,Overseas,KXIP,Wicket Keeper
128,Bowlers,Bowlers,KXIP,Wicket Keeper
129,Sandeep Lamichhane,Overseas,KXIP,Bowler
130,Avesh Khan,,KXIP,Bowler
131,Kagiso Rabada,Overseas,KXIP,Bowler
132,Ishant Sharma,,KXIP,Bowler
133,Amit Mishra,,KXIP,Bowler
134,Ravichandran Ashwin,,KXIP,Bowler
135,Mohit Sharma,,KXIP,Bowler
136,Tushar Deshpande,,KXIP,Bowler
137,Batsmen,Batsmen,RR,Bowler
138,Manan Vohra,,RR,Batsman
139,Shashank Singh,,RR,Batsman
140,Steve Smith,Overseas; Captain,RR,Batsman
141,David Miller,Overseas,RR,Batsman
142,All-rounders,All-rounders,RR,Batsman
143,Riyan Parag,,RR,All-Rounder
144,Mahipal Lomror,,RR,All-Rounder
145,Shreyas Gopal,,RR,All-Rounder
146,Ben Stokes,Overseas,RR,All-Rounder
147,Rahul Tewatia,,RR,All-Rounder
148,Yashasvi Jaiswal,,RR,All-Rounder
149,Aniruddha Joshi,,RR,All-Rounder
150,Wicket-keepers,Wicket-keepers,RR,All-Rounder
151,Sanju Samson,,RR,Wicket Keeper
152,Jos Buttler,Overseas,RR,Wicket Keeper
153,Robin Uthappa,,RR,Wicket Keeper
154,Anuj Rawat,,RR,Wicket Keeper
155,Bowlers,Bowlers,RR,Wicket Keeper
156,Jofra Archer,Overseas,RR,Bowler
157,Jaydev Unadkat,,RR,Bowler
158,Varun Aaron,,RR,Bowler
159,Andrew Tye,Overseas,RR,Bowler
160,Tom Curran,Overseas,RR,Bowler
161,Oshane Thomas,Overseas,RR,Bowler
162,Ankit Rajpoot,,RR,Bowler
163,Akash Singh,,RR,Bowler
164,Kartik Tyagi,,RR,Bowler
165,Mayank Markande,,RR,Bowler
166,Batsmen,Batsmen,RCB,Bowler
167,AB de Villiers,"Overseas, Vice-captain",RCB,Batsman
168,Virat Kohli,Captain,RCB,Batsman
169,Gurkeerat Singh,Occasional wicket-keeper,RCB,Batsman
170,Devdutt Padikkal,,RCB,Batsman
171,Aaron Finch,Overseas,RCB,Batsman
172,All-rounders,All-rounders,RCB,Batsman
173,Shivam Dube,,RCB,All-Rounder
174,Moeen Ali,Overseas,RCB,All-Rounder
175,Pawan Negi,,RCB,All-Rounder
176,Washington Sundar,,RCB,All-Rounder
177,Chris Morris,Overseas,RCB,All-Rounder
178,Pavan Deshpande,,RCB,All-Rounder
179,Wicket-keepers,Wicket-keepers,RCB,All-Rounder
180,Parthiv Patel,,RCB,Wicket Keeper
181,Josh Philippe,,RCB,Wicket Keeper
182,Bowlers,Bowlers,RCB,Wicket Keeper
183,Yuzvendra Chahal,,RCB,Bowler
184,Mohammed Siraj,,RCB,Bowler
185,Umesh Yadav,,RCB,Bowler
186,Navdeep Saini,,RCB,Bowler
187,Kane Richardson,Overseas,RCB,Bowler
188,Dale Steyn,Overseas,RCB,Bowler
189,Shahbaz Nadeem,,RCB,Bowler
190,Isuru Udana,Overseas,RCB,Bowler
191,Batsmen,Batsmen,KKR,Bowler
192,Nitish Rana,,KKR,Batsman
193,Rinku Singh,,KKR,Batsman
194,Shubman Gill,,KKR,Batsman
195,Eoin Morgan,Overseas,KKR,Batsman
196,Siddhesh Lad,,KKR,Batsman
197,Rahul Tripathi,,KKR,Batsman
198,All-rounders,All-rounders,KKR,Batsman
199,Andre Russell,Overseas,KKR,All-Rounder
200,Sunil Narine,Overseas,KKR,All-Rounder
201,Kamlesh Nagarkoti,,KKR,All-Rounder
202,Chris Green,Overseas,KKR,All-Rounder
203,Wicket-keepers,Wicket-keepers,KKR,All-Rounder
204,Dinesh Karthik,Captain,KKR,Wicket Keeper
205,Tom Banton,Overseas,KKR,Wicket Keeper
206,Nikhil Naik,,KKR,Wicket Keeper
207,Bowlers,Bowlers,KKR,Wicket Keeper
208,Harry Gurney,Overseas,KKR,Bowler
209,Kuldeep Yadav,,KKR,Bowler
210,Shivam Mavi,,KKR,Bowler
211,Prasidh Krishna,,KKR,Bowler
212,Sandeep Warrier,,KKR,Bowler
213,Lockie Ferguson,Overseas,KKR,Bowler
214,Pat Cummins,Overseas,KKR,Bowler
215,Varun Chakravarthy,,KKR,Bowler
216,Manimaran Siddharth,,KKR,Bowler
217,Pravin Tambe,,KKR,Bowler
